"Method"|"Method.Label"
"145"|"R & P Model 2025 Sequential Air Sampler with BGI VSCC"
"153"|"Thermo Electron RAAS2.5-100 with BGI VSCC"
"154"|"Thermo Electron RAAS2.5-200 Audit with BGI VSCC"
"155"|"Thermo Electron RAAS2.5-300 Sequential with BGI VSCC"
"170"|"Met One BAM-1020 PM2.5 VSCC FEM"
"177"|"Thermo Scientific Partisol 2000-D Dichot."
"179"|"Thermo Scientific Dichot.  Partisol-Plus Model 2025-D Seq"
"181"|"Thermo Scientific 1400a with Series 8500C FDMS VSCC FEM"
"182"|"Thermo Scientific 1405-DF FDMS Dichotomous FEM"
"183"|"Thermo Scientific 5014i or FH62C14-DHS VSCC FEM"
"184"|"Thermo Scientific Model 5030 SHARP VSCC FEM"
"195"|"GRIMM EDM Model 180 for FEM"
"203"|"Opsis SM200-Dust Monitor VSCC FEM"
"204"|"Teledyne Model 602 Beta plus VSCC FEM"
"209"|"Met One BAM-1022 PM2.5 w/ VSCC or TE-PM2.5C FEM"
"219"|"Tisch Model TE-Wilbur2.5"
"221"|"Met One E-FRM PM2.5 with VSCC or WINS"
"235"|"Met One E-FRM PM2.5 with URG-2000-30EGN cyclone (FEM)"
"236"|"T-API T640 at 5.0 LPM"
"238"|"T-API T640X at 16.67 LPM"
"581"|"Thermo Scientific 1405-F FDMS w/VSCC FEM"
"001"|""
"005"|"LEAR SIEGLER SM1000"
"006"|"MELOY SA185-2A"
"009"|"THERMO ELECTRON 43"
"010"|"PHILIPS PW9755"
"011"|""
"013"|""
"014"|""
"016"|""
"018"|""
"019"|""
"020"|""
"021"|""
"022"|""
"023"|""
"024"|"ASARCO 500"
"029"|"BECKMAN 953"
"030"|"BENDIX 8303"
"031"|""
"032"|"MELOY SA285E"
"033"|""
"039"|"MONITOR LABS 8850"
"046"|"MELOY SA700"
"049"|"LEAR SIEGLER AM2020"
"050"|""
"059"|""
"060"|"THERMO ELECTRON 43A, 43B, 43C"
"061"|"DASIBI 4108"
"075"|"MONITOR LABS 8850S"
"077"|"ADV POLL INST INC MODEL 100"
"084"|"ENVIRON. SA MDL AF21M"
"091"|""
"092"|"MONITOR LABS 9850 & 9850B"
"094"|""
"095"|""
"096"|""
"098"|""
"100"|"API MODEL 100 A SO2 ANALYZER"
"101"|"OPSIS MODEL AR 500 SYSTEM"
"114"|"HORIBA APSA-360 OR APSA-360ACE"
"115"|"DKK CORP MODEL GFS-32 AMB SO2"
"133"|"DKK MDl GFS-112E"
"138"|"SANOA Longpath"
"149"|"Environnement S.A. AF22M SO2 Analyzer"
"159"|"HORIBA APSA-370"
"166"|"SIR S A Model S-5001"
"168"|"DKK-TOA Model GFS-312E"
"188"|"Ecotech Serinus 50 SO2 Analyzer"
"194"|"SERES Model SF 2000 G Sulfur Dioxide Analyzer"
"511"|"PHILIPS PW9700"
"513"|"MONITOR LABS 8450"
"560"|"Thermo Electron 43c-TLE/43i-TLE"
"592"|"Ecotech EC9850T"
"600"|"Teledyne API 100 EU"
"801"|""
"811"|""
"850"|""
"900"|""
