"Parameter"|"Parameter.Name"
43392|"2,2,3-Trimethylbutane"
43376|"2,2,4-Trimethylhexane"
43250|"2,2,4-Trimethylpentane"
43825|"2,2-Dichloro-1,1,1-trifluoroethane"
43244|"2,2-Dimethylbutane"
43375|"2,2-Dimethylheptane"
43222|"2,2-Dimethylpropane"
16975|"2,3',4',5-Tetrachlorobiphenyl_(TSP)_STP"
16976|"2,3',4',6-Tetrachlorobiphenyl_(TSP)_STP"
16962|"2,3',4'-Trichlorobiphenyl_(TSP)_STP"
16946|"2,3',4,4',5'-Pentachlorobiphenyl_(TSP)_STP"
16950|"2,3',4,4',5,5',-Hexachlorobiphenyl_(TSP)_STP"
16933|"2,3',4,4',5-Pentachlorobiphenyl_(TSP)_STP"
17043|"2,3',4,4'-Tetrachlorobiphenyl_(TSP)_STP"
17038|"2,3',4-Trichlorobiphenyl_(TSP)_STP"
16960|"2,3',5-Trichlorobiphenyl_(TSP)_STP"
16961|"2,3',6-Trichlorobiphenyl_(TSP)_STP"
16954|"2,3'-Dichlorobiphenyl_(TSP)_STP"
17008|"2,3,3',4',5,5',6-Heptachlorobiphenyl_(TSP)_STP"
17049|"2,3,3',4',5,6-Hexachlorobiphenyl_(TSP)_STP_"
17045|"2,3,3',4',6-Pentachlorobiphenyl_(TSP)_STP"
16973|"2,3,3',4'-Tetrachlorobiphenyl_(TSP)_STP"
16949|"2,3,3',4,4',5'-Hexachlorobiphenyl_(TSP)_STP"
16951|"2,3,3',4,4',5,5'-Heptachlorobiphenyl"
16948|"2,3,3',4,4',5-Hexachlorobiphenyl_(TSP)_STP"
16998|"2,3,3',4,4',6-Hexachlorobiphenyl_(TSP)_STP"
16934|"2,3,3',4,4'-Pentachlorobiphenyl_(TSP)_STP"
16974|"2,3,4',5-Tetrachlorobiphenyl_(TSP)_STP"
17042|"2,3,4',6-Tetrachlorobiphenyl_(TSP)_STP"
16959|"2,3,4'-Trichlorobiphenyl_(TSP)_STP"
16945|"2,3,4,4',5-Pentachlorobiphenyl_(TSP)_STP"
17041|"2,3,4,4'-Tetrachlorobiphenyl_(TSP)_STP"
16924|"2,3,4,6,7,8-Hexachlorodibenzofuran_(TSP)_STP"
16732|"2,3,4,6-Tetrachlorophenol_(TSP)_STP"
16921|"2,3,4,7,8-Pentachlorodibenzofuran_(TSP)_STP"
43252|"2,3,4-Trimethylpentane"
17819|"2,3,7,8,-Tetrachlorodibenzo-p-dioxin"
17825|"2,3,7,8-Tetrachlorodibenzofuran_(TSP)_STP"
16953|"2,3-Dichlorobiphenyl_(TSP)_STP"
43241|"2,3-Dimethyl-2-pentene"
43284|"2,3-Dimethylbutane"
43174|"2,3-Dimethylbutane_&_2-Methylpentane"
43294|"2,3-Dimethylhexane"
17145|"2,3-dimethylnaphthalene_(TSP)_STP"
43291|"2,3-Dimethylpentane"
16943|"2,4',5-Trichlorobiphenyl_(TSP)_STP"
17039|"2,4',6-Trichlorobiphenyl_(TSP)_STP"
16939|"2,4'-Dichlorobiphenyl_(TSP)_STP"
