"Parameter"|"Parameter.Name"
43521|"Decanal"
11208|"Deciview"
88315|"Delta_Carbon_PM2.5_LC"
84315|"Delta_Carbon_PM2.5_STP"
62103|"Dew_Point"
16777|"Di-n-butyl_phthalate__(TSP)_STP"
16778|"Di-n-octyl_phthalate__(TSP)_STP"
16774|"Diallate__(TSP)_STP"
82151|"Dibenz(A-H)Anthracene_PM10_STP"
18202|"Dibenzofuran_(TSP)_STP"
17231|"Dibenzo[a,h]anthracene_(TSP)_STP"
17902|"Dibenzo[b,e][1,4]dioxin,2,3,7,8-tetrachloro_(TSP)_STP"
43832|"Dibromochloromethane"
43805|"Dibromomethane"
17810|"Dichlorobiphenyl_(TSP)_STP"
43823|"Dichlorodifluoromethane"
43352|"Dichloroethyl_ether"
43360|"dichlorofluoromethane"
43802|"Dichloromethane"
17805|"Dichlorophenol_(TSP)_STP"
43852|"Dichlorotetrafluoroethane"
43165|"Dieldrin"
16775|"Diethyl_phthalate__(TSP)_STP"
43356|"Diethylene_glycol"
16776|"Dimethyl_phthalate__(TSP)_STP"
43915|"DIMETHYL_SULFIDE"
16779|"Dinoseb__(TSP)_STP"
16780|"Diphenylamine__(TSP)_STP"
43522|"Dodecanal"
43330|"Dodecene"
65401|"Dry_deposition"
43816|"Duplicate_use_43839"
43158|"Dursban"
25101|"Dustfall_Combustible_(SP)"
72301|"Dyed_fabric_#1"
72302|"Dyed_fabric_#2"
72303|"Dyed_fabric_#3"
72304|"Dyed_fabric_#4"
72305|"Dyed_fabric_#5"
72306|"Dyed_fabric_#6"
72307|"Dyed_fabric_#7"
72308|"Dyed_fabric_#8"
72309|"Dyed_fabric_#9"
88307|"EC_CSN_PM2.5_LC_TOT"
84307|"EC_CSN_PM2.5_STP_TOT"
85380|"EC_CSN_rev_Unadjusted_PM10_LC_TOR"
85357|"EC_CSN_rev_Unadjusted_PM10_LC_TOT"
86380|"EC_CSN_rev_Unadjusted_PM10-2.5_LC_TOR"
86357|"EC_CSN_rev_Unadjusted_PM10-2.5_LC_TOT"
88380|"EC_CSN_Rev_Unadjusted_PM2.5_LC_TOR"
88357|"EC_CSN_Rev_Unadjusted_PM2.5_LC_TOT"
88321|"EC_PM2.5_LC_TOR"
88381|"EC_PM2.5_LC_TOT"
85383|"EC1_CSN_rev_Unadjusted_PM10_LC"
86383|"EC1_CSN_rev_Unadjusted_PM10-2.5_LC"
88383|"EC1_CSN_Rev_Unadjusted_PM2.5_LC"
88329|"EC1_PM2.5_LC"
85384|"EC2_CSN_rev_Unadjusted_PM10_LC"
86384|"EC2_CSN_rev_Unadjusted_PM10-2.5_LC"
88384|"EC2_CSN_Rev_Unadjusted_PM2.5_LC"
88330|"EC2_PM2.5_LC"
85385|"EC3_CSN_rev_Unadjusted_PM10_LC"
86385|"EC3_CSN_rev_Unadjusted_PM10-2.5_LC"
88385|"EC3_CSN_Rev_Unadjusted_PM2.5_LC"
88331|"EC3_PM2.5_LC"
88323|"EH_IMPROVE_PM2.5_LC"
68109|"Elapsed_Sample_Time"
88343|"Elemental_Carbon_Extinction_PM2.5_LC"
82307|"Elemental_Carbon_PM10_STP"
43157|"Endosulfan"
43175|"Endosulfan_1_(alpha)"
43163|"Endosulfan_2"
43168|"Endosulfan_sulfate"
43164|"Endrin"
43161|"Endrin_aldehyde"
43152|"Endrin_ketone"
43607|"Epichlorohydrin"
16901|"Epichlorohydrin(DUP)"
43202|"Ethane"
43599|"Ethane_&_acetylene"
43209|"Ethyl_acetate"
43438|"Ethyl_acrylate"
43302|"Ethyl_alcohol"
43862|"Ethyl_bromide"
43442|"Ethyl_methacrylate"
16781|"Ethyl_methanesulfonate__(TSP)_STP"
43219|"Ethylacetylene"
45203|"Ethylbenzene"
43296|"Ethylcyclohexane"
43203|"Ethylene"
43126|"Ethylene_&_acetylene"
43843|"Ethylene_dibromide"
43815|"Ethylene_dichloride"
43601|"Ethylene_oxide"
43340|"Ethyne_&_isobutane"
12121|"Europium_(TSP)_STP"
88121|"Europium_PM2.5_LC"
17201|"Fluoranthene_(TSP)_STP"
17162|"Fluoranthene-D10_(TSP)_STP"
17149|"Fluorene_(TSP)_STP"
17161|"Fluorene-D10_(TSP)_STP"
12209|"Fluoride_(paper_samplers)"
65315|"Fluoride_(precip)"
12202|"Fluoride_(TSP)_STP"
12208|"Fluoride_(vegation)"
42513|"Fluoride_ion"
82202|"Fluoride_PM10_STP"
43502|"Formaldehyde"
43207|"Freon_113"
43208|"Freon_114"
16916|"Freon_12"
43849|"Freon_23"
46401|"Furan,_tetrahydro-"
88392|"Galactosan_PM2.5_LC"
83130|"Gallium_(PM10)"
14124|"Gallium_(TSP)_LC"
12124|"Gallium_(TSP)_STP"
85124|"Gallium_PM10_LC"
82124|"Gallium_PM10_STP"
88124|"Gallium_PM2.5_LC"
14125|"Germanium_(TSP)_LC"
12125|"Germanium_(TSP)_STP"
85125|"Germanium_PM10_LC"
88125|"Germanium_PM2.5_LC"
14143|"Gold_(TSP)_LC"
12143|"Gold_(TSP)_STP"
85143|"Gold_PM10_LC"
88143|"Gold_PM2.5_LC"
43154|"Guthion"
12127|"Hafnium_(TSP)_STP"
88127|"Hafnium_PM2.5_LC"
43848|"Halocarbon_134a"
43170|"Heptachlor"
43151|"Heptachlor_epoxide"
17815|"Heptachlorobiphenyl_(TSP)_STP"
43950|"Heptanal"
43264|"Heptane"
17804|"Hexachlorobenzene_(TSP)_STP"
17814|"Hexachlorobiphenyl_(TSP)_STP"
43844|"Hexachlorobutadiene"
16782|"Hexachlorobutadiene__(TSP)_STP"
16826|"Hexachlorocyclopentadiene_(TSP)_STP"
16807|"Hexachloroethane_(TSP)_STP"
16783|"Hexachloropropene__(TSP)_STP"
16714|"Hexamethylene_diisocyanate"
43511|"HEXANAL"
43517|"Hexanaldehyde"
42301|"Hydrobromic_acid"
42302|"Hydrochloric_acid"
42303|"Hydrofluoric_acid"
42607|"Hydrogen_cyanide"
12602|"Hydrogen_ion_conc_(TSP)_STP"
88337|"Hydrogen_PM2.5_LC"
42402|"Hydrogen_sulfide"
42304|"Hydronium_ion"
43952|"Indan"
82243|"Indeno[1,2,3-cd]_pyrene_PM10_STP"
17243|"Indeno[1,2,3-cd]pyrene_(TSP)_STP"
83129|"Indium_(PM10)"
14131|"Indium_(TSP)_LC"
12131|"Indium_(TSP)_STP"
85131|"Indium_Pm10_Lc"
82131|"Indium_PM10_STP"
86131|"Indium_PM10-2.5_LC"
88131|"Indium_PM2.5_LC"
62107|"Indoor_Temperature"
88364|"Infrared_PM_2.5_Carbon_at_950_nm"
63303|"Infrared_Radiation"
21113|"Inorganic_Fractn_(SP)"
12204|"Iodide_(TSP)_STP"
12133|"Iridium_(TSP)_STP"
88133|"Iridium_PM2.5_LC"
65334|"Iron_(precip)"
22126|"Iron_(SP)"
14126|"Iron_(TSP)_LC"
12126|"Iron_(TSP)_STP"
11350|"Iron_-_56_(TSP)"
11358|"Iron_-_57_(TSP)"
85126|"Iron_PM10_LC"
82126|"Iron_PM10_STP"
86126|"Iron_PM10-2.5_LC"
83126|"Iron_PM10-2.5_STP"
88126|"Iron_PM2.5_LC"
84126|"Iron_PM2.5_STP"
43214|"Isobutane"
43270|"Isobutene"
43127|"Isobutene_&_1-butene"
43512|"Isobutyraldehyde"
16784|"Isodrin__(TSP)_STP"
43111|"Isomers_of_dodecane"
45104|"Isomers_of_ethyltoluene"
43121|"Isomers_of_pentene"
43221|"Isopentane"
43341|"Isopentane_&_cyclopentane"
16914|"Isophorone_(TSP)_STP"
43243|"Isoprene"
45210|"Isopropylbenzene"
16785|"Isosafrole__(TSP)_STP"
43513|"Isovaleraldehyde"
83147|"Lanthanum_(PM10)"
12146|"Lanthanum_(TSP)_STP"
82146|"Lanthanum_PM10_STP"
88146|"Lanthanum_PM2.5_LC"
61202|"Lapse_Rate"
65337|"Lead_(precip)"
22128|"Lead_(SP)"
14129|"Lead_(TSP)_LC"
14128|"Lead_(TSP)_LC_Non-FRM/FEM"
12128|"Lead_(TSP)_STP"
11351|"Lead_-_208_(TSP)"
85128|"Lead_PM10_LC"
85129|"Lead_PM10_LC_FRM/FEM"
82128|"Lead_PM10_STP"
86128|"Lead_PM10-2.5_LC"
83128|"Lead_PM10-2.5_STP"
88128|"Lead_PM2.5_LC"
84128|"Lead_PM2.5_STP"
12129|"Lead-210_(TSP)_STP"
88390|"Levoglucosan_PM2.5_LC"
63102|"Light_Absorption_Coeffiecient"
11203|"Light_scatter"
11207|"Light_scatter_(miles_visibility)"
11206|"Light_scatter_(ug/m3)"
43255|"Limonene"
43137|"Lindane"
45506|"m_&_p-Tolualdehyde"
16786|"m_and_p-Cresol__(TSP)_STP"
43379|"m(and_p)-Ethyltoluene"
45111|"m(and_p)-Xylene_&_bromoform"
17302|"m-Cresol_(TSP)_STP"
45218|"m-Diethylbenzene"
45212|"m-Ethyltoluene"
45508|"m-Tolualdehyde"
45205|"m-Xylene"
45116|"m/p_Ethyltoluene"
45109|"m/p_Xylene"
65313|"Magnesium_(precip)"
14140|"Magnesium_(TSP)_LC"
12140|"Magnesium_(TSP)_STP"
85140|"Magnesium_PM10_LC"
82140|"Magnesium_PM10_STP"
86140|"Magnesium_PM10-2.5_LC"
88140|"Magnesium_PM2.5_LC"
84140|"Magnesium_PM2.5_STP"
43169|"Malathion"
65335|"Manganese_(precip)"
22132|"Manganese_(SP)"
14132|"Manganese_(TSP)_LC"
12132|"Manganese_(TSP)_STP"
11352|"Manganese_-_55_(TSP)"
85132|"Manganese_PM10_LC"
82132|"Manganese_PM10_STP"
86132|"Manganese_PM10-2.5_LC"
83132|"Manganese_PM10-2.5_STP"
88132|"Manganese_PM2.5_LC"
84132|"Manganese_PM2.5_STP"
88391|"Mannosan_PM2.5_LC"
65429|"Mercury_(deposition)"
84242|"Mercury_(PM2.5_STP_particulate_bound)"
65329|"Mercury_(precip)"
42243|"Mercury_(Reactive_Gaseous)"
22142|"Mercury_(SP)"
14142|"Mercury_(TSP)_LC"
12142|"Mercury_(TSP)_STP"
42242|"Mercury_(vapor)"
92142|"Mercury_compounds"
85142|"Mercury_PM10_LC"
82142|"Mercury_PM10_STP"
83142|"Mercury_PM10-2.5_STP"
88142|"Mercury_PM2.5_LC"
84142|"Mercury_PM2.5_STP"
43515|"Methacrolein"
43201|"Methane"
43301|"Methanol"
43153|"Methoxychlor"
43559|"Methyl_Butyl_Ketone"
43814|"Methyl_chloroform"
43552|"Methyl_ethyl_ketone"
43549|"Methyl_ethyl_ketone_&_methacrolein"
43808|"Methyl_Iodide"
16521|"Methyl_isoamyl_ketone"
43560|"Methyl_isobutyl_ketone"
43901|"Methyl_mercaptan"
43441|"Methyl_methacrylate"
16787|"Methyl_methanesulfonate__(TSP)_STP"
43160|"Methyl_Parathion"
43372|"Methyl_tert-butyl_ether"
43558|"Methyl_Vinyl_Ketone"
43261|"Methylcyclohexane"
43262|"Methylcyclopentane"
43346|"Methylcyclopentane_&_2,4-dimethylpentane"
45250|"Methylstyrene"
61301|"Mixing_Height"
61302|"Mixing_Speed"
17028|"Mixture_PCB_105/132/153_(TSP)_STP"
17029|"Mixture_PCB_135/144_(TSP)_STP"
17030|"Mixture_PCB_138/163_(TSP)_STP"
17020|"Mixture_PCB_15/17_(TSP)_STP"
17031|"Mixture_PCB_170/190_(TSP)_STP"
17032|"Mixture_PCB_171/202_(TSP)_STP"
17021|"Mixture_PCB_18/32_(TSP)_STP"
17033|"Mixture_PCB_203/196_(TSP)_STP"
17034|"Mixture_PCB_208/195_(TSP)_STP"
17022|"Mixture_PCB_28/31_(TSP)_STP"
17023|"Mixture_PCB_37/42_(TSP)_STP"
17018|"Mixture_PCB_4/10_(TSP)_STP"
17024|"Mixture_PCB_41/71/64_(TSP)_STP"
17025|"Mixture_PCB_47/48_(TSP)_STP"
17026|"Mixture_PCB_56/60_(TSP)_STP"
17019|"Mixture_PCB_7/_9_(TSP)_STP"
17027|"Mixture_PCB_77/110_(TSP)_STP"
65134|"Molybdenum_(precip)"
12134|"Molybdenum_(TSP)_STP"
11353|"Molybdenum_-_98_(TSP)"
85134|"Molybdenum_PM10_LC"
82135|"Molybdenum_PM10_STP"
82134|"Molybdenum_PM10_STP_"
83134|"Molybdenum_PM10-2.5_STP"
88134|"Molybdenum_PM2.5_LC"
84134|"Molybdenum_PM2.5_STP"
14134|"Molybdenum(TSP)_LC"
43307|"n-Amyl_alcohol"
43212|"n-Butane"
43440|"n-Butyl_acrylate"
43305|"n-Butyl_alcohol"
43238|"n-Decane"
43348|"n-Decane_&_1,2,4-trimethylbenzene"
43141|"n-Dodecane"
43232|"n-Heptane"
16210|"n-Hexadecane"
43231|"n-Hexane"
45234|"n-Hexylbenzene"
16789|"N-Nitrosodibutylamine__(TSP)_STP"
16790|"N-Nitrosodiethylamine__(TSP)_STP"
16722|"N-Nitrosodimethylamine_(TSP)_STP"
16791|"N-Nitrosodipropylamine__(TSP)_STP"
16792|"N-Nitrosomethylethylamine__(TSP)_STP"
16793|"N-Nitrosopiperidine__(TSP)_STP"
16794|"N-Nitrosopyrrolidine__(TSP)_STP"
43235|"n-Nonane"
43233|"n-Octane"
43130|"n-Octane_&_trans-1,3-dichloropropylene"
43260|"n-Pentadecane"
43220|"n-Pentane"
43323|"n-Pinene_&_benzaldehyde"
43434|"n-Propyl_acetate"
43303|"n-Propyl_alcohol"
45209|"n-Propylbenzene"
43259|"n-Tetradecane"
43143|"n-Tridecane"
43954|"n-Undecane"
45850|"Naphthalene"
17141|"Naphthalene_(TSP)_STP"
63305|"Net_radiation"
65336|"Nickel_(precip)"
22136|"Nickel_(SP)"
14136|"Nickel_(TSP)_LC"
12136|"Nickel_(TSP)_STP"
11359|"Nickel_-_58_(TSP)"
11354|"Nickel_-_60_(TSP)"
85136|"Nickel_PM10_LC"
82136|"Nickel_PM10_STP"
86136|"Nickel_PM10-2.5_LC"
83136|"Nickel_PM10-2.5_STP"
88136|"Nickel_PM2.5_LC"
84136|"Nickel_PM2.5_STP"
12147|"Niobium_(TSP)_STP"
88147|"Niobium_PM2.5_LC"
65321|"Nitrate_(precip)"
22306|"Nitrate_(SP)"
14306|"Nitrate_(TSP)_LC"
12306|"Nitrate_(TSP)_STP"
82306|"Nitrate_PM10_STP"
84306|"Nitrate_PM2.5_STP"
82356|"Nitrate_PM2.5_STP_"
42305|"Nitric_acid"
42601|"Nitric_oxide_(NO)"
42609|"Nitrite"
65343|"Nitrite_(precip)"
12309|"Nitrite_(TSP)_STP"
88338|"Nitrite_PM2.5_LC"
45705|"Nitrobenzene"
16788|"Nitrobenzene_(TSP)_STP"
42602|"Nitrogen_dioxide_(NO2)"
42308|"Nitrous_acid"
42605|"NITROUS_OXIDE"
85310|"Non-volatile_nitrate_PC10_LC"
86310|"Non-volatile_nitrate_PM10-2.5_LC"
88310|"Non-volatile_Nitrate_PM2.5_LC"
17817|"Nonachlorobiphenyl_(TSP)_STP"
43524|"Nonanal"
42612|"NOy_-_NO"
42611|"NOZ"
72501|"Nylon_deterioration"
17301|"o-Cresol_(TSP)_STP"
45217|"o-Diethylbenzene"
45211|"o-Ethyltoluene"
45505|"o-Tolualdehyde"
17710|"o-Toluidine_(TSP)_STP"
45204|"o-Xylene"
45112|"o-Xylene_&_1,1,2,2-tetrachloroethane"
45140|"O-xylene_&_N-nonane"
88305|"OC_CSN_Unadjusted_PM2.5_LC_TOT"
84305|"OC_CSN_Unadjusted_PM2.5_STP_TOT"
85370|"OC_CSN_rev_Unadjusted_PM10_LC_TOR"
85355|"OC_CSN_rev_Unadjusted_PM10_LC_TOT"
86370|"OC_CSN_rev_Unadjusted_PM10-2.5_LC_TOR"
86355|"OC_CSN_rev_Unadjusted_PM10-2.5_LC_TOT"
88370|"OC_CSN_Rev_Unadjusted_PM2.5_LC_TOR"
88355|"OC_CSN_Rev_Unadjusted_PM2.5_LC_TOT"
88320|"OC_PM2.5_LC_TOR"
88382|"OC_PM2.5_LC_TOT"
88332|"OC1_CSN_Unadjusted_PM2.5_LC_TOT"
85374|"OC1_CSN_rev_Unadjusted_PM10_LC"
86374|"OC1_CSN_rev_Unadjusted_PM10-2.5_LC"
88374|"OC1_CSN_Rev_Unadjusted_PM2.5_LC"
88324|"OC1_PM2.5_LC"
88333|"OC2_CSN_Unadjusted_PM2.5_LC_TOT"
85375|"OC2_CSN_rev_Unadjusted_PM10_LC"
86375|"OC2_CSN_rev_Unadjusted_PM10-2.5_LC"
88375|"OC2_CSN_Rev_Unadjusted_PM2.5_LC"
88325|"OC2_PM2.5_LC"
88334|"OC3_CSN_Unadjusted_PM2.5_LC_TOT"
85376|"OC3_CSN_rev_Unadjusted_PM10_LC"
86376|"OC3_CSN_rev_Unadjusted_PM10-2.5_LC"
88376|"OC3_CSN_Rev_Unadjusted_PM2.5_LC"
88326|"OC3_PM2.5_LC"
88335|"OC4_CSN_Unadjusted_PM2.5_LC_TOT"
85377|"OC4_CSN_rev_Unadjusted_PM10_LC"
86377|"OC4_CSN_rev_Unadjusted_PM10-2.5_LC"
88377|"OC4_CSN_Rev_Unadjusted_PM2.5_LC"
88327|"OC4_PM2.5_LC"
88322|"OCH_PM2.5_LC_TOT"
17816|"Octachlorobiphenyl_(TSP)_STP"
43525|"Octanal"
88304|"OCX_Carbon_PM2.5_LC"
88311|"OCX2_Carbon_PM2.5_LC"
88336|"OP_CSN_PM2.5_LC_TOT"
85378|"Op_CSN_rev_Unadjusted_PM10_LC_TOR"
85388|"Op_CSN_rev_Unadjusted_PM10_LC_TOT"
86378|"OP_CSN_rev_Unadjusted_PM10-2.5_LC_TOR"
86388|"OP_CSN_rev_Unadjusted_PM10-2.5_LC_TOT"
88378|"OP_CSN_Rev_Unadjusted_PM2.5_LC_TOR"
88388|"OP_CSN_Rev_Unadjusted_PM2.5_LC_TOT"
88328|"OP_PM2.5_LC_TOR"
88379|"OP_PM2.5_LC_TOT"
88316|"Optical_EC_PM2.5_LC_TOT"
84316|"Optical_EC_PM2.5_STP_TOT"
88346|"Organic_Carbon_Extinction_PM2.5_LC"
88350|"Organic_Carbon_Mass_PM2.5_LC"
82305|"Organic_carbon_PM10_STP"
21102|"Organic_Fraction_(SP)"
62101|"Outdoor_Temperature"
42603|"Oxides_of_nitrogen_(NOx)"
44201|"Ozone"
17303|"p-Cresol_(TSP)_STP"
45219|"p-Diethylbenzene"
45213|"p-Ethyltoluene"
43397|"p-isopropyltoluene"
45230|"p-tert-butyl_toluene"
45507|"p-Tolualdehyde"
45206|"p-Xylene"
12151|"Palladium_(TSP)_STP"
82127|"Palladium_PM10_STP"
88151|"Palladium_PM2.5_LC"
16115|"Paraffins_(alkanes)"
88347|"Particle_Light_Scatter"
87100|"Particle_Number,_100-200_nm"
87020|"Particle_Number,_20-30_nm"
87030|"Particle_Number,_30-50_nm"
87050|"Particle_Number,_50-70_nm"
87070|"Particle_Number,_70-100_nm"
87200|"Particle_Number,_>_200_nm"
87101|"Particle_Number,_Total_Count"
61105|"Peak_Wind_Gust"
17803|"Pentachlorobenzene_(TSP)_STP"
17813|"Pentachlorobiphenyl_(TSP)_STP"
16795|"Pentachloroethane__(TSP)_STP"
17725|"Pentachloronitrobenzene_(TSP)_STP"
17808|"Pentachlorophenol_(TSP)_STP"
44301|"Peroxyactyl_nitrate"
17212|"Perylene_(TSP)_STP"
22602|"pH_(Dustfall)"
65302|"PH_(precip)"
16796|"Phenacetin__(TSP)_STP"
17150|"Phenanthrene_(TSP)_STP"
45300|"Phenol"
16797|"Phenol__(TSP)_STP"
12345|"Phosphate_(TSP)_STP"
42307|"Phosphoric_acid"
43167|"Phosphorotrithioic_acid,S,S,S-tributylester"
65152|"Phosphorus_(precip)"
12152|"Phosphorus_(TSP)_STP"
85152|"Phosphorus_PM10_LC"
82152|"Phosphorus_PM10_STP"
86152|"Phosphorus_PM10-2.5_LC"
83152|"Phosphorus_PM10-2.5_STP"
88152|"Phosphorus_PM2.5_LC"
84152|"Phosphorus_PM2.5_STP"
43188|"Pinene_&_p-ethytoluene"
14108|"Platinum_(TSP)_LC"
12150|"Platinum_(TSP)_STP"
85108|"Platinum_PM10_LC"
88141|"Platinum_PM2.5_LC"
88360|"PM_2.5_Carbon_at_470_nm"
88361|"PM_2.5_Carbon_at_520_nm"
88362|"PM_2.5_Carbon_at_590_nm"
88363|"PM_2.5_Carbon_at_660_nm"
88367|"PM_2.5_Carbon_at_935_nm"
85101|"PM10_-_LC"
81102|"PM10_Total_0-10um_STP"
86101|"PM10-2.5_-_Local_Conditions"
81103|"PM10-2.5_STP"
88101|"PM2.5_-_Local_Conditions"
88396|"PM2.5_Carbon_at_430_nm"
88397|"PM2.5_Carbon_at_525_nm"
88398|"PM2.5_Carbon_at_565_nm"
88399|"PM2.5_Carbon_at_700_nm"
88501|"PM2.5_Raw_Data"
81104|"PM2.5_STP"
88500|"PM2.5_Total_Atmospheric"
88503|"PM2.5_Volatile_Channel"
12153|"Polonium-210_(TSP)_STP"
17833|"Polychlorinated_biphenyls_(PCBs)"
17199|"Polycyclic_organic_matter_(TSP)_STP"
17202|"Polynuclear_aromatic_hydrocarbons_(TSP)_STP"
43334|"POLYVINYL_ALCOHOL"
65312|"Potassium_(precip)"
12180|"Potassium_(TSP)_STP"
85303|"Potassium_Ion_PM10_LC"
86303|"Potassium_Ion_PM10-2.5_LC"
88303|"Potassium_Ion_PM2.5_LC"
85180|"Potassium_PM10_LC"
82180|"Potassium_PM10_STP"
86180|"Potassium_PM10-2.5_LC"
83180|"Potassium_PM10-2.5_STP"
88180|"Potassium_PM2.5_LC"
84180|"Potassium_PM2.5_STP"
14180|"Potassium_TSP_LC"
16798|"Pronamide_(TSP)_STP"
43204|"Propane"
43504|"Propionaldehyde"
43606|"Propionitrile"
43205|"Propylene"
43602|"Propylene_oxide"
43144|"Propyne"
17204|"Pyrene_(TSP)_STP"
17205|"Pyrene-D10_(TSP)_STP"
16799|"Pyridine_(TSP)_STP"
65305|"Radioactivity_rainfall"
12187|"Radium-226_(TSP)_STP"
12188|"Radium-228_(TSP)_STP"
43776|"Radon"
65101|"Rain_24hr_total"
65102|"Rain/melt_precipitation"
42600|"Reactive_oxides_of_nitrogen_(NOy)"
88401|"Reconstructed_Mass_PM2.5_LC"
68110|"Relative_Humidity"
62201|"Relative_Humidity_"
62202|"Relative_Humidity_Factor"
31101|"Respirable_part"
17158|"Retene_(TSP)_STP"
72401|"Rubber_cracking"
14176|"Rubidium_(TSP)_LC"
12176|"Rubidium_(TSP)_STP"
85176|"Rubidium_PM10_LC"
82176|"Rubidium_PM10_STP"
86176|"Rubidium_PM10-2.5_LC"
83176|"Rubidium_PM10-2.5_STP"
88176|"Rubidium_PM2.5_LC"
84176|"Rubidium_PM2.5_STP"
16801|"Safrole_(TSP)_STP"
12162|"Samarium_(TSP)_STP"
88162|"Samarium_PM2.5_LC"
68112|"Sample_Flow_Rate_CV_-_Nylon_Filter"
68113|"Sample_Flow_Rate_CV_-_Quartz_Filter"
68111|"Sample_Flow_Rate_CV_-_Teflon_Filter"
68101|"Sample_Flow_Rate-_CV"
68107|"Sample_Max_Baro_Pressure"
68106|"Sample_Min_Baro_Pressure"
68102|"Sample_Volume"
68115|"Sample_Volume_-_Nylon_Filter"
68116|"Sample_Volume_-_Quartz_Filter"
68114|"Sample_Volume_-_Teflon_Filter"
91119|"SANDWICH_-_Adjusted_Aluminum"
91110|"SANDWICH_-_Adjusted_Ammonium"
91118|"SANDWICH_-_Adjusted_Calcium"
91113|"SANDWICH_-_Adjusted_Elemental_Carbon_(EC)"
91116|"SANDWICH_-_Adjusted_Iron"
91109|"SANDWICH_-_Adjusted_Nitrate"
91112|"SANDWICH_-_Adjusted_Organic_Carbon_Mass"
91114|"SANDWICH_-_Adjusted_Salt"
91115|"SANDWICH_-_Adjusted_Silicon"
91108|"SANDWICH_-_Adjusted_Sulfate"
91117|"SANDWICH_-_Adjusted_Titanium"
91111|"SANDWICH_-_Adjusted_Water"
91102|"SANDWICH_-_Ammonium_for_mass_balance"
91123|"SANDWICH_-_Crustal_Mass"
91124|"SANDWICH_-_Filter_Contamination_Mass"
91121|"SANDWICH_-_Nitrate_Mass"
91106|"SANDWICH_-_Raw_Crustal_Component_Mass"
91101|"SANDWICH_-_Raw_Nitrate"
91104|"SANDWICH_-_Raw_Organic_Carbon_Mass"
91107|"SANDWICH_-_Raw_Salt"
91105|"SANDWICH_-_Raw_Total_Carbonaceous_Mass"
91103|"SANDWICH_-_Raw_Water"
91120|"SANDWICH_-_Sulfate_Mass"
91122|"SANDWICH_-_Total_Carbonaceous_Mass_-_material_balance"
12163|"Scandium_(TSP)_STP"
88163|"Scandium_PM2.5_LC"
88395|"Sea_Salt_(PM2.5)"
45216|"sec-Butylbenzene"
14154|"Selenium_(TSP)_LC"
12154|"Selenium_(TSP)_STP"
85154|"Selenium_PM10_LC"
82154|"Selenium_PM10_STP"
86154|"Selenium_PM10-2.5_LC"
83154|"Selenium_PM10-2.5_STP"
88154|"Selenium_PM2.5_LC"
84154|"Selenium_PM2.5_STP"
65551|"Silica_(precip)"
85551|"Silica_PM10_LC"
82551|"Silica_PM10_STP"
12165|"Silicon_(TSP)_STP"
85165|"Silicon_PM10_LC"
82165|"Silicon_PM10_STP"
86165|"Silicon_PM10-2.5_LC"
83165|"Silicon_PM10-2.5_STP"
88165|"Silicon_PM2.5_LC"
84165|"Silicon_PM2.5_STP"
65166|"Silver_(precip)"
22166|"Silver_(SP)"
14166|"Silver_(TSP)_LC"
12166|"Silver_(TSP)_STP"
85166|"Silver_PM10_LC"
82166|"Silver_PM10_STP"
86166|"Silver_PM10-2.5_LC"
88166|"Silver_PM2.5_LC"
72101|"Silver_tarnishing"
81101|"Size_fractionated_particulate"
11204|"Smoke"
42406|"SO2_max_5-min_avg"
65311|"Sodium_(precip)"
12184|"Sodium_(TSP)_STP"
85302|"Sodium_Ion_PM10_LC"
86302|"Sodium_Ion_PM10-2.5_LC"
88302|"Sodium_Ion_Pm2.5_LC"
85184|"Sodium_PM10_LC"
82184|"Sodium_PM10_STP"
86184|"Sodium_PM10-2.5_LC"
88184|"Sodium_PM2.5_LC"
84184|"Sodium_PM2.5_STP"
88349|"Soil_Extinction_PM2.5_LC"
11201|"Soil_index_(COH)"
11202|"Soil_index_(RUD)"
11205|"Soil_index_(ug/m3)"
88348|"Soil_PM2.5_LC"
62108|"Soil_Temperature"
63301|"Solar_radiation"
61106|"Std_Dev_Hz_Wind_Direction"
61111|"Std_Dev_Hz_Wind_Speed"
61107|"Std_Dev_Vt_Wind_Direction"
61110|"Std_Dev_Vt_Wind_Speed"
72201|"Steel_corrosion"
65306|"Strong_Acids_(precip)"
12168|"Strontium_(TSP)_STP"
11355|"Strontium_-_88_(TSP)"
85168|"Strontium_PM10_LC"
82168|"Strontium_PM10_STP"
86168|"Strontium_PM10-2.5_LC"
83168|"Strontium_PM10-2.5_STP"
88168|"Strontium_PM2.5_LC"
84168|"Strontium_PM2.5_STP"
14168|"Strontium(TSP)_LC"
45220|"Styrene"
45110|"Styrene_and_o-xylene"
65322|"Sulfate_(precip)"
22403|"Sulfate_(SP)"
14403|"Sulfate_(TSP)_LC"
12403|"Sulfate_(TSP)_STP"
85403|"Sulfate_PM10_LC"
82403|"Sulfate_PM10_STP"
86403|"Sulfate_PM10-2.5_LC"
88403|"Sulfate_PM2.5_LC"
84403|"Sulfate_PM2.5_STP"
82453|"Sulfate_PM2.5_STP_"
42410|"Sulfation_rate"
12169|"Sulfur_(TSP)_STP"
42401|"Sulfur_dioxide"
85169|"Sulfur_PM10_LC"
82169|"Sulfur_PM10_STP"
86169|"Sulfur_PM10-2.5_LC"
83169|"Sulfur_PM10-2.5_STP"
88169|"Sulfur_PM2.5_LC"
